domain,domain_name,siteID,site_name,state,biome_types,latitude,longitude,elevation_m,MAT_C,MAP_mm,Temp_s,Prec_s,started_year,end_year,duration,N,scale,scale1,div,sta,div_p,sta_p
D11,Southern Plains,CLBJ,LBJ National Grassland ,TX,"Deciduous Forest, Grassland/Herbaceous",33.40123,-97.57,259,17.6,874,8039,35,2016,2019,4,22,alpha,a,2.29817196,0.594181211,0.360649811,0.012005455
D11,Southern Plains,OAES,Klemme Range Research Station,OK,"Grassland/Herbaceous, Shrub/Scrub",35.41059,-99.05879,516,15.5,698,8992,47,2015,2019,5,29,alpha,a,2.269723429,0.686658821,0.333829319,0.094553365
D13,Southern Rockies & Colorado Plateau,MOAB,Moab,UT,"Evergreen Forest, Shrub/Scrub",38.24833,-109.38827,1767,9.8,312,8964,23,2015,2019,5,10,alpha,a,1.726331664,0.512231573,-0.210774957,-0.113550355
D13,Southern Rockies & Colorado Plateau,NIWO,Niwot Ridge Mountain Research Station,CO,"Evergreen Forest, Grassland/Herbaceous",40.05425,-105.58237,3513,-0.5,705,7330,16,2015,2020,6,31,alpha,a,2.062754017,0.990150308,0.056496539,0.223559057
D14,Desert Southwest,JORN,Jornada LTER,NM,Shrub/Scrub,32.59068,-106.84254,1329,14.9,256,7634,73,2015,2019,5,19,alpha,a,1.377704946,0.412297346,-0.533671822,-0.153924948
D14,Desert Southwest,SRER,Santa Rita Experimental Range,AZ,Shrub/Scrub,31.91068,-110.83549,983,19,346,6840,77,2016,2019,4,33,alpha,a,1.811914827,0.294860845,-0.087067682,-0.233379718
D15,Great Basin,ONAQ,Onaqui,UT,"Evergreen Forest, Shrub/Scrub",40.17759,-112.45244,1685,9.3,349,8930,20,2016,2019,4,30,alpha,a,1.711543135,0.527319474,-0.230020797,-0.106611911
D16,Pacific Northwest,ABBY,Abby Road,WA,"Evergreen Forest, Grassland/Herbaceous, Shrub/Scrub",45.76243,-122.33033,363,8.3,2556,5184,63,2017,2020,4,33,alpha,a,1.989973637,0.687964047,-0.091476186,-0.118656335
D19,Taiga,DEJU,Delta Junction,AK,"Evergreen Forest, Shrub/Scrub, Woody Wetlands",63.88112,-145.75136,529,-3.1,300,13008,78,2016,2019,4,31,alpha,a,1.945189844,0.616929064,-0.047563874,-0.148238409
D19,Taiga,HEAL,Healy,AK,"Dwarf Scrub, Evergreen Forest, Shrub/Scrub",63.87569,-149.21334,705,-4.6,398,11598,66,2016,2019,4,32,alpha,a,2.042513121,0.882289283,0.0371857,0.09362659
D01,Northeast,BART,Bartlett Experimental Forest,NH,"Deciduous Forest, Evergreen Forest, Mixed Forest",44.06388,-71.28731,232,4.8,1300,9658,10,2014,2020,7,26,beta1,b,1.06780579,0.466185522,-0.081483016,-0.072243471
D01,Northeast,HARV,Harvard Forest,MA,"Deciduous Forest, Evergreen Forest, Mixed Forest, Woody Wetlands",42.5369,-72.17266,351,7.2,1120,9364,8,2014,2020,7,30,beta1,b,1.131359926,0.356305518,-0.012057272,-0.138567917
D02,Mid-Atlantic,BLAN,Blandy Experimental Farm,VA,"Deciduous Forest, Pasture/Hay",39.06026,-78.07164,183,11.7,966,8544,15,2015,2020,6,13,beta1,b,1.10050901,0.528596434,-0.056300279,0.082917774
D02,Mid-Atlantic,SCBI,Smithsonian Conservation Biology Institute,VA,"Deciduous Forest, Evergreen Forest, Pasture/Hay",38.89292,-78.1395,361,11.2,1020,8428,15,2014,2020,7,27,beta1,b,1.178348469,0.639328505,0.018121801,0.181655954
D02,Mid-Atlantic,SERC,Smithsonian Environmental Research Center,MD,"Cultivated Crops, Deciduous Forest",38.89008,-76.56001,15,13.1,1072,8441,13,2015,2019,5,31,beta1,b,1.087202703,0.506088018,-0.094239716,0.04847851
D03,Southeast,DSNY,Disney Wilderness Preserve,FL,"Pasture/Hay, Woody Wetlands",28.12504,-81.4362,15,22.4,1208,4299,51,2014,2019,6,15,beta1,b,1.132241273,0.531255991,-0.137285342,0.094929308
D03,Southeast,JERC,Jones Ecological Research Center,GA,"Cultivated Crops, Deciduous Forest, Evergreen Forest, Mixed Forest",31.19484,-84.46861,44,19.3,1326,6292,23,2015,2019,5,31,beta1,b,1.303612843,0.455611017,0.041727982,-0.016713173
D03,Southeast,OSBS,Ordway-Swisher Biological Station,FL,"Emergent Herbaceous Wetlands, Evergreen Forest, Woody Wetlands",29.68927,-81.99343,45,20.3,1313,5295,41,2014,2019,6,17,beta1,b,1.339966242,0.589912741,0.072283285,0.124765269
D04,Atlantic Neotropical,GUAN,Guanica Forest,PR,Evergreen Forest,17.96955,-66.8687,143,25.9,916,1154,55,2015,2019,5,19,beta1,b,1.401036867,0.546391097,0.143995848,0.178803213
D04,Atlantic Neotropical,LAJA,Lajas Experimental Station,PR,"Cultivated Crops, Grassland/Herbaceous, Pasture/Hay",18.02125,-67.0769,24,25.1,1474,1180,45,2016,2019,4,30,beta1,b,1.089673129,0.406525718,-0.235547846,-0.063706049
